Hautes Ecoles (2021),15-24 y.o. (2021),2143
Hautes Ecoles (2021),25-44 y.o. (2021),27137
Hautes Ecoles (2021),45-64 y.o. (2021),10533
Hautes Ecoles (2021),more than 64 y.o. (2021),3362
Professionnelle Supérieure (2021),15-24 y.o. (2021),71
Professionnelle Supérieure (2021),25-44 y.o. (2021),2745
Professionnelle Supérieure (2021),45-64 y.o. (2021),2403
Professionnelle Supérieure (2021),more than 64 y.o. (2021),1660
Formation Générale (2021),15-24 y.o. (2021),3628
Formation Générale (2021),25-44 y.o. (2021),4381
Formation Générale (2021),45-64 y.o. (2021),3409
Formation Générale (2021),more than 64 y.o. (2021),2253
Formation Professionnelle (2021),15-24 y.o. (2021),2112
Formation Professionnelle (2021),25-44 y.o. (2021),7518
Formation Professionnelle (2021),45-64 y.o. (2021),6947
Formation Professionnelle (2021),more than 64 y.o. (2021),6285
Sans formation postobligatoire (2021),under 15 (2021),20502
Sans formation postobligatoire (2021),15-24 y.o. (2021),7091
Sans formation postobligatoire (2021),25-44 y.o. (2021),7336
Sans formation postobligatoire (2021),45-64 y.o. (2021),9603
Sans formation postobligatoire (2021),more than 64 y.o. (2021),5717
Unknown (2021),15-24 y.o. (2021),4229
Unknown (2021),25-44 y.o. (2021),3412
Unknown (2021),45-64 y.o. (2021),1072
Unknown (2021),more than 64 y.o. (2021),1360
under 15 (2021),Overall Population (2021),20502
15-24 y.o. (2021),Overall Population (2021),19274
25-44 y.o. (2021),Overall Population (2021),52529
45-64 y.o. (2021),Overall Population (2021),33967
more than 64 y.o. (2021),Overall Population (2021),20638
Overall Population (2021),Total Waste (2021),63536
Total Waste (2021),Incinerable (2021),31664
Total Waste (2021),Paper (2021),13071
Total Waste (2021),Glass (2021),7093
Total Waste (2021),Iron (2021),2159
Total Waste (2021),Vegetabe (2021),9549
